income,year,access,pcnt
lower-middle,2004,basic,32.57
lower-middle,2004,limited,4.38
lower-middle,2004,unimproved,11.12
lower-middle,2004,surface,4.69
lower-middle,2005,safe,48.15
lower-middle,2005,basic,32.19
lower-middle,2005,limited,4.42
lower-middle,2005,unimproved,10.71
lower-middle,2005,surface,4.53
lower-middle,2006,safe,49.08
lower-middle,2006,basic,31.82
lower-middle,2006,limited,4.43
lower-middle,2006,unimproved,10.3
lower-middle,2006,surface,4.38
lower-middle,2007,safe,50.01
lower-middle,2007,basic,31.44
lower-middle,2007,limited,4.44
lower-middle,2007,unimproved,9.89
lower-middle,2007,surface,4.22
lower-middle,2008,safe,50.47
lower-middle,2008,basic,31.53
lower-middle,2008,limited,4.44
lower-middle,2008,unimproved,9.48
lower-middle,2008,surface,4.07
lower-middle,2009,safe,51.49
lower-middle,2009,basic,31.07
lower-middle,2009,limited,4.45
lower-middle,2009,unimproved,9.08
lower-middle,2009,surface,3.92
lower-middle,2010,safe,52.5
lower-middle,2010,basic,30.61
lower-middle,2010,limited,4.45
lower-middle,2010,unimproved,8.67
lower-middle,2010,surface,3.76
lower-middle,2011,safe,53.52
lower-middle,2011,basic,30.15
lower-middle,2011,limited,4.45
lower-middle,2011,unimproved,8.27
lower-middle,2011,surface,3.61
lower-middle,2012,safe,54.6
lower-middle,2012,basic,29.62
lower-middle,2012,limited,4.44
lower-middle,2012,unimproved,7.88
lower-middle,2012,surface,3.46
lower-middle,2013,safe,55.69
lower-middle,2013,basic,29.09
lower-middle,2013,limited,4.43
lower-middle,2013,unimproved,7.48
lower-middle,2013,surface,3.31
lower-middle,2014,safe,56.76
lower-middle,2014,basic,28.58
lower-middle,2014,limited,4.42
lower-middle,2014,unimproved,7.09
lower-middle,2014,surface,3.15
lower-middle,2015,safe,57.74
lower-middle,2015,basic,28.16
lower-middle,2015,limited,4.4
lower-middle,2015,unimproved,6.7
lower-middle,2015,surface,3
lower-middle,2016,safe,58.7
lower-middle,2016,basic,27.76
lower-middle,2016,limited,4.38
lower-middle,2016,unimproved,6.31
lower-middle,2016,surface,2.85
lower-middle,2017,safe,59.64
lower-middle,2017,basic,27.37
lower-middle,2017,limited,4.35
lower-middle,2017,unimproved,5.93
lower-middle,2017,surface,2.71
lower-middle,2018,safe,60.56
lower-middle,2018,basic,27.02
lower-middle,2018,limited,4.31
lower-middle,2018,unimproved,5.55
lower-middle,2018,surface,2.56
lower-middle,2019,safe,61.46
lower-middle,2019,basic,26.68
lower-middle,2019,limited,4.28
lower-middle,2019,unimproved,5.15
lower-middle,2019,surface,2.43
lower-middle,2020,safe,62.32
lower-middle,2020,basic,26.34
lower-middle,2020,limited,4.26
